Year,N,Index,m,eps,Tag,error
2014,1295600768,CNR,0.0012423171085986884,9.78612370362609e-7,All,7.877315409963775e-4
2014,1295600768,IncR,0.0026300000000000004,0.00134,All,0.5095057034220531
2014,1295600768,MorR,3.7000000000000005e-4,2.4999999999999984e-5,All,0.06756756756756752
2015,1310152392,CNR,0.0012724748740526666,9.848888264432623e-7,All,7.739947141797148e-4
2015,1310152392,IncR,0.00256,0.00118,All,0.4609375
2015,1310152392,MorR,3.6e-4,1.9999999999999998e-5,All,0.055555555555555546
2016,1324517250,CNR,0.0013317123653919947,1.002044564072266e-6,All,7.524481938540161e-4
2016,1324517250,IncR,0.00249,9.950000000000002e-4,All,0.3995983935742973
2016,1324517250,MorR,3.5000000000000005e-4,2.500000000000001e-5,All,0.07142857142857145
2017,1338676779,CNR,0.0012323318263818186,9.588666301837944e-7,All,7.780912654013569e-4
2017,1338676779,IncR,0.00234,8.550000000000001e-4,All,0.3653846153846154
2017,1338676779,MorR,3.4e-4,2.500000000000001e-5,All,0.07352941176470591
2018,1352642283,CNR,0.0014110781719515418,1.0206513849126552e-6,All,7.233131411146977e-4
2018,1352642283,IncR,0.0022400000000000002,7.950000000000001e-4,All,0.3549107142857143
2018,1352642283,MorR,3.3000000000000005e-4,2.500000000000001e-5,All,0.07575757575757577
2019,1366417756,CNR,0.0015824757769028874,1.0753080192534734e-6,All,6.795099393925588e-4
2019,1366417756,IncR,0.00214,7.450000000000001e-4,All,0.3481308411214954
2019,1366417756,MorR,3.3000000000000005e-4,2.500000000000001e-5,All,0.07575757575757577
