,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,r_clear,r_sc,adr,rr_inf_asym,rr_inf_cs,r_lat,p_primary,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,r_act,cas,k_covid
0,0,7.585968690892329,0.5909172092082773,0.1935991512292798,0.0349944308220538,0.1624284544092757,0.0384919496751832,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.277 -> 3.243(45%) -> 3.529(45%)),0.7876210783313832
1,1,7.309405767653353,0.6395745653041693,0.1916352702688169,0.0378860179755399,0.1975379515805023,0.037476598601954,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.228 -> 3.611(45%) -> 3.697(45%)),0.7876210783313832
2,2,8.75143266812299,0.3736621598806303,0.3033832666197135,0.0320283623506242,0.211808701951667,0.0255611331764884,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.188 -> 3.445(45%) -> 3.625(45%)),0.7876210783313832
3,3,9.076006649822071,0.2782084534348731,0.2210990798016482,0.0343798347875946,0.1569943625348182,0.0274090944195289,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.207 -> 3.176(45%) -> 4.020(45%)),0.7876210783313832
4,4,9.993317606201652,0.3030090707580825,0.2816206674188374,0.0216982977643341,0.2065505399264848,0.0413418978287757,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.170 -> 3.577(45%) -> 3.618(45%)),0.7876210783313832
5,5,7.8130980294254915,0.512735853494267,0.2266949148099285,0.0285438459389449,0.1897541782877593,0.0221565847931279,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.220 -> 3.105(45%) -> 3.988(45%)),0.7876210783313832
6,6,8.539178136894911,0.3182480902836783,0.259431152042773,0.0351335547944674,0.2124411820020493,0.0062686535402323,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.202 -> 3.305(45%) -> 3.908(45%)),0.7876210783313832
7,7,9.679852024189222,0.245835007526378,0.2790572334380767,0.0249883780603232,0.2437085103577345,0.032936523385805,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.179 -> 3.308(45%) -> 4.158(45%)),0.7876210783313832
8,8,8.232578007547765,0.4820966184039084,0.2446991494073244,0.0269513819196514,0.192862746164654,0.0355122875444685,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.163 -> 3.049(45%) -> 4.511(45%)),0.7876210783313832
9,9,9.086014115605735,0.3112872608362867,0.1961828049099401,0.0343346105319917,0.1810650896545101,0.0342013871494975,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.119 -> 3.377(45%) -> 3.989(45%)),0.7876210783313832
10,10,9.476954288353612,0.22697805794358,0.2225317581843384,0.0268968113289798,0.1664573968402208,0.027960100945757,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.154 -> 3.769(45%) -> 4.091(45%)),0.7876210783313832
11,11,7.825501464508516,0.7035646271225835,0.2570030208532948,0.0273910756328894,0.2367853858230792,0.0446475761507455,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.117 -> 3.828(45%) -> 4.293(45%)),0.7876210783313832
12,12,7.309405767653353,0.6395745653041693,0.1916352702688169,0.0378860179755399,0.1975379515805023,0.037476598601954,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.099 -> 3.094(45%) -> 4.726(45%)),0.7876210783313832
13,13,9.437048946498292,0.3059027089058685,0.2219530163148177,0.0321024255188555,0.2115138437519428,0.0371067449487931,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.147 -> 3.563(45%) -> 3.873(45%)),0.7876210783313832
14,14,7.937125083573758,0.4911397615375044,0.2612870235319926,0.0342081199777557,0.2142850160322064,0.0306170688557717,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.198 -> 3.134(45%) -> 4.430(45%)),0.7876210783313832
15,15,9.28344205319256,0.2946002993532388,0.207559432809889,0.0301253186782875,0.2249805435678391,0.0312880287843247,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.137 -> 3.446(45%) -> 4.157(45%)),0.7876210783313832
16,16,9.083409174543505,0.2279400256439981,0.197609412117841,0.0245186124624555,0.180634816326561,0.0082037686127973,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.131 -> 3.633(45%) -> 4.257(45%)),0.7876210783313832
17,17,10.320073832679782,0.2320733408635193,0.2652765604872381,0.0333837342573452,0.2102907397606185,0.034834172539912,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.190 -> 3.886(45%) -> 3.736(45%)),0.7876210783313832
18,18,9.753086281847535,0.3031891890749695,0.1939148862720123,0.0256350832882874,0.1801945092942076,0.0316391021893699,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.149 -> 3.778(45%) -> 3.728(45%)),0.7876210783313832
19,19,9.7063787269098,0.2542164422846805,0.1776856080440483,0.0337884696952841,0.2029766216788563,0.0447499303670375,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.104 -> 3.951(45%) -> 4.284(45%)),0.7876210783313832
20,20,8.38100893259695,0.4130838211679217,0.210837179467815,0.0364859566480679,0.1500591559311971,0.0280090801578757,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.209 -> 3.675(45%) -> 4.476(45%)),0.7876210783313832
21,21,8.140474007022869,0.4502741819144403,0.2221183227374666,0.0307185081240904,0.2103269648185934,0.0077971026787695,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.210 -> 3.031(45%) -> 4.189(45%)),0.7876210783313832
22,22,7.8000486328013245,0.7328023665538407,0.1944337091793045,0.0305451702333807,0.2325787566521374,0.015222525289137,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.197 -> 3.769(45%) -> 3.744(45%)),0.7876210783313832
23,23,10.182107761045964,0.2200121357319472,0.2323277685890207,0.021731947030081,0.2070345046038765,0.0249477650845939,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.235 -> 3.180(45%) -> 3.812(45%)),0.7876210783313832
24,24,8.859333590216563,0.3869895017393401,0.290865084101563,0.032188009953789,0.2232846539331988,0.0494053565307663,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.188 -> 3.445(45%) -> 3.625(45%)),0.7876210783313832
25,25,8.295928628359347,0.2910032442559487,0.1695894053440149,0.0369132539213196,0.1815991479528685,0.007394556826789,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.224 -> 3.515(45%) -> 3.698(45%)),0.7876210783313832
26,26,7.619578322402114,0.5966353392800164,0.222655331667147,0.0309969909734155,0.2437871739017989,0.0132756925462691,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.207 -> 3.176(45%) -> 4.020(45%)),0.7876210783313832
27,27,8.510984492132843,0.5301373293354691,0.1715256227676706,0.0220149147161126,0.2144692480371326,0.0432904116124361,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.180 -> 3.088(45%) -> 4.364(45%)),0.7876210783313832
28,28,8.393449307221369,0.2807200470209531,0.2913548658200321,0.035750344135991,0.1990213030639676,0.0254414183776189,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.198 -> 3.070(45%) -> 4.062(45%)),0.7876210783313832
29,29,9.936220996734509,0.2167135939102204,0.2323014274963551,0.0264453040127386,0.172153806225763,0.0307606356315516,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.158 -> 3.053(45%) -> 4.489(45%)),0.7876210783313832
30,30,8.20569287707719,0.3967535728801123,0.2304264119460942,0.0320272989409027,0.1968853645295582,0.0093647074809753,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.083 -> 3.700(45%) -> 4.627(45%)),0.7876210783313832
31,31,8.031502935265909,0.5392518277689502,0.166104122563639,0.0252798929019819,0.2242756768341052,0.0086583215049996,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.240 -> 3.726(45%) -> 3.430(45%)),0.7876210783313832
32,32,8.426294723614598,0.2477909922533597,0.1878286887384477,0.0285796695111528,0.1871262129077999,0.0105967062630844,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.160 -> 3.533(45%) -> 4.357(45%)),0.7876210783313832
33,33,9.248318858055494,0.3807500275193879,0.2953082032810813,0.0247400639916292,0.2475385379657445,0.0342754049896735,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.138 -> 3.765(45%) -> 4.391(45%)),0.7876210783313832
34,34,8.399061081169274,0.6010533004173799,0.2156354934031707,0.0262034352972112,0.2199933965075545,0.0497360282622673,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.187 -> 3.150(45%) -> 4.107(45%)),0.7876210783313832
35,35,9.569060268858657,0.3504802093080134,0.3011312520957922,0.0253936914576716,0.2259282065035934,0.0377330461941315,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.131 -> 3.674(45%) -> 4.437(45%)),0.7876210783313832
