,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,r_clear,r_sc,adr,rr_inf_asym,rr_inf_cs,r_lat,p_primary,r_stab,r_react,r_relapse,r_relapse_td,r_relapse_tc,p_cs_pub,p_dx_pub,p_dx_pri,dur_succ,r_act,cas,k_covid_2020,k_covid_2021
0,0,14.52431431755821,0.5247095071474985,0.2921371904539575,0.0334152147325903,0.1750191006145331,0.0895294235223108,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.317 -> 3.080(40%) -> 3.763(70%)),1.0,1.0
1,1,14.025186313139123,0.519342439580722,0.2545568825314126,0.0329578384427592,0.1705459849728403,0.0976840430798182,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.395 -> 4.131(40%) -> 4.220(70%)),1.0,1.0
2,2,12.474863434426252,0.7087167997027817,0.2091888180886142,0.0331853046599558,0.1634873068522106,0.0593871593488534,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.413 -> 3.052(40%) -> 4.039(70%)),1.0,1.0
3,3,21.311465819053925,0.245695348152083,0.1547983682427557,0.0332108639306691,0.2061719794826839,0.0788314950651944,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.648 -> 2.921(40%) -> 3.513(70%)),1.0,1.0
4,4,20.9478324106028,0.2469341526117473,0.2244645146711617,0.0251614499141024,0.1765407540652908,0.066045979593026,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.414 -> 3.665(40%) -> 3.719(70%)),1.0,1.0
5,5,12.482652268046502,0.4565568901553611,0.2692789692311143,0.039405243379369,0.1644376016842861,0.057333090102642,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.357 -> 3.085(40%) -> 3.409(70%)),1.0,1.0
6,6,20.87003011785656,0.2345288771446921,0.1507013593111656,0.0324139652068372,0.19632882512995,0.0519028253363971,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.454 -> 3.551(40%) -> 4.788(70%)),1.0,1.0
7,7,16.200187788960143,0.4886166029823359,0.2228152185315035,0.020410989358045,0.2426664166290736,0.0720394533414898,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.415 -> 3.328(40%) -> 5.138(70%)),1.0,1.0
8,8,22.54003610053596,0.2238751405378079,0.2373670399318492,0.0332313277765942,0.1854213849307573,0.0820310569811993,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.467 -> 2.850(40%) -> 4.158(70%)),1.0,1.0
9,9,15.396465646234208,0.2880677190640476,0.2055276668656527,0.0344567337525557,0.1674103050398433,0.0370389347660165,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.455 -> 3.074(40%) -> 5.407(70%)),1.0,1.0
10,10,14.952983500024544,0.3122214404022746,0.220015598000263,0.0296313759840599,0.2328917571797437,0.0387484400541969,1,1,0.5,0.14,0.6666666666666666,0.001,0.001,0.008,0.004,0.483,0.65,0.27,0.5,0.0813953488372093,Cascade(1.424 -> 3.275(40%) -> 4.531(70%)),1.0,1.0
