,Unnamed: 0,beta,rr_sus_slat,rr_sus_rec,p_primary,r_clear,r_sc,r_react,r_relapse,r_relapse_td,r_relapse_tc,irr_hiv,rr_inf_asym,rr_inf_cs,r_lat,r_stab,irr_art,dur_succ,adr,r_act,cas,k_covid
0,0,6.100780359986873,0.6285163419383079,0.1454004225715583,0.1179700026573943,0.0295880137991165,0.1550236237415657,0.0011258896586671,0.001375321637453,0.1216054978091073,0.0360800426063385,19.77382240839583,1,1,0.5,0.6666666666666666,1,0.5,0,0.066874144310747,Cascade(1.246 -> 3.047(40%) -> 4.281(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
1,1,6.544017249753303,0.4534162188892719,0.2641941311256061,0.1157327791354684,0.0223622516252925,0.2198815657536573,0.0009139644966753,0.0017826095622985,0.1252800289005853,0.0366872351713306,27.58302858760939,1,1,0.5,0.6666666666666666,1,0.5,0,0.0654399351263516,Cascade(1.417 -> 3.341(40%) -> 3.949(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
2,2,9.32569256064011,0.5423628110971788,0.2210984861311163,0.1100115514475805,0.0291601090319447,0.2096531512138346,0.0008542495887458,0.0016879362417253,0.1547622056323261,0.0297122186277637,16.3716400119201,1,1,0.5,0.6666666666666666,1,0.5,0,0.0618050445635087,Cascade(1.291 -> 3.149(40%) -> 5.360(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
3,3,12.22738990257395,0.2289186364739816,0.2889958967574818,0.1026978178096036,0.0367621853789455,0.1894549855444014,0.00105970104207,0.0018892764685113,0.1149584251235549,0.038585820106357,11.133287968506115,1,1,0.5,0.6666666666666666,1,0.5,0,0.0572258821208419,Cascade(1.440 -> 3.206(40%) -> 3.969(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
4,4,10.057262656057627,0.3549021788938629,0.2577172197356574,0.115580431123039,0.0215637110257517,0.2452223453357325,0.0007580633804654,0.001719697437485,0.1180739049912354,0.0248094098313662,23.120488809290837,1,1,0.5,0.6666666666666666,1,0.5,0,0.0653425337873309,Cascade(1.541 -> 4.189(40%) -> 3.933(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
5,5,7.678633741210823,0.2246395907026717,0.2298895242094102,0.1371616128560463,0.0253943248751977,0.1727813395203467,0.0010126221774192,0.0017484508424442,0.1134666816149768,0.0287701796761609,21.575855045378635,1,1,0.5,0.6666666666666666,1,0.5,0,0.0794827947502772,Cascade(1.574 -> 2.914(40%) -> 6.502(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
6,6,7.932665822819437,0.3745642651823666,0.2050886681353414,0.1201254791401218,0.0204530847999402,0.1655615281794379,0.0012553122478056,0.0019572339558009,0.1530840795478965,0.0333535942633863,19.20439621641516,1,1,0.5,0.6666666666666666,1,0.5,0,0.0682628467424686,Cascade(1.661 -> 2.858(40%) -> 4.653(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
7,7,8.489368521448654,0.3817594012734926,0.1412790879104488,0.1168773045899752,0.0339552624102445,0.2468936609144332,0.0007449096059319,0.0013294130223441,0.1385880550295437,0.0313181314625698,24.051832338341388,1,1,0.5,0.6666666666666666,1,0.5,0,0.0661727442842528,Cascade(1.296 -> 3.508(40%) -> 4.146(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
8,8,10.326688169917018,0.2201673060060148,0.2329464671607804,0.1103711240786326,0.0216617029055189,0.2097381241351568,0.0009803491511812,0.0011272475064366,0.1050165844173003,0.0316251873340461,29.14207395829057,1,1,0.5,0.6666666666666666,1,0.5,0,0.0620321164622292,Cascade(1.491 -> 2.997(40%) -> 4.370(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
9,9,8.958228006607508,0.2325212832128834,0.2729968358556345,0.1288853094060048,0.0203904408684727,0.2113004193408218,0.0010262307195755,0.0017837146068164,0.1422597004037535,0.0291603064057421,18.96667741947065,1,1,0.5,0.6666666666666666,1,0.5,0,0.073977233306742,Cascade(1.481 -> 3.026(40%) -> 3.718(70%)),<scipy.interpolate.interpolate.interp1d object at 0x000001B0E2F49EF0>
